corpus_id;document_id;sentence_id;content
MusicBO;1;1009;The more I deviated from the path which my wife regarded as the only profitable one, due partly to the change of my views (which I grew ever less willing to communicate to her), and partly to the modification in my attitude towards the stage, the more my wife retreated from that position of close fellowship with me which my wife had enjoyed in former years, and which my wife thought herself justified in connecting in some way with my successes.
MusicBO;1;154;We spent an evening together at Schumann's, had a little music, and finally began a discussion on Mendelssohn and Meyerbeer, in which Liszt and Schumann differed so fundamentally that the latter, completely losing his temper, retired in a fury to his bedroom for quite a long time.
MusicBO;1;548;In this business I noticed the very pronounced activity of a former college friend, Marschall von Bieberstein, a lawyer who, in his capacity as senior officer of the Dresden Communal Guard, distinguished himself by his boundless zeal amid the shouts of a mighty band of fellow-orators.
MusicBO;1;722;In Freiberg I had met four hundred reservists, who had come in excellent form to back the citizen army, but could not proceed further, as four hundred reservists, who had come in excellent form to back the citizen army were tired out by their forced march.
MusicBO;1;516;Simultaneously with this, came the intelligence of the national uprising in Wurtemberg, where the troops themselves had frustrated the intentions of the government by their declaration of fidelity to the parliament, and the ministry had been compelled against their will to acknowledge the Pan-German Constitution.
MusicBO;1;1042;Consequently Alfred Escher rose very rapidly to high positions in the government, to which Alfred Escher rendered valuable and important services, first as Minister of Finance, a post Alfred Escher held for many years, and later with particular distinction as member of the School Federation.
MusicBO;1;147;What determined this feeling even more than the insults I had suffered, was the recognition of the fact that I was now utterly incapable of ever being able to enlist his influence in the cause of theatrical reform, which was so dear to me.
MusicBO;1;875;Here in rural seclusion I spent three days, entertainment of a peculiar nature being provided by the meeting of a popular assembly, which consisted of the remainder of the contingent of revolutionaries which had marched off towards Dresden and had now returned in disorder.
MusicBO;1;1088;I now received a direct reply, which, in addition to the fact that it testified to the vigour and activity with which Schroder-Devrient had fought her difficulties, at the same time showed me that Schroder-Devrient earnestly desired to be reunited with me.
MusicBO;1;1170;These were the first signs of that new phase in my life upon which I entered from this day forth, and in which I accustomed myself to look upon the outward circumstances of my existence as being merely subservient to my will.
MusicBO;1;1059;Soon after I had settled in Zurich I began to write down my various ideas about things at which I had arrived through my private and artistic experiences, as well as through the influence of the political unrest of the day.
MusicBO;1;13;I remembered that I had seen him once before not long after the first performance of Tannhauser, when he asked me for my autograph for a copy of the score of that opera, which was on sale at the music-shop.
MusicBO;1;114;I observed in him a certain wildness and vehemence, the impression of which returned to me very vividly some months later, when I heard of his being shot as a rebel who had participated in the October Insurrection at Vienna.
MusicBO;1;855;After being stirred up to a certain pitch of excitement his mood became positively alarming, and he almost gnashed his teeth in a passion of fury directed against a certain section of society which had also aroused my deepest indignation.
MusicBO;1;121;"He seemed quite disposed to listen in a friendly manner to what I had to say to him; he did not, however, attempt to conceal his surprise at my direct appeals and the personal demands I made of him."
MusicBO;1;128;On the homeward journey I touched at Prague, where I found my old friend Kittl (who had grown very much more corpulent) still in the most terrible fright about the riotous events which had taken place there.
MusicBO;1;1153;I thought this all the more reason why Wigand the publisher should accept my new revolutionary book, and expected him to pay me a fee which would be in proportion to the greater size of the work.
MusicBO;1;273;I regarded this turn of events with no little satisfaction, believing that in the study of this particular work I should find a wholesome and effective diversion from all the excitement and confusion of recent events.
MusicBO;1;427;The winter of this year, up to the spring of 1849, passed in a manysided development of my position and temper, as I have described them, that is to say, in a sort of dull agitation.
MusicBO;1;904;I had braced myself to meet the crucial moment early the next morning, when the policeman came into my room and, not knowing to whom the passports belonged, gave me three at random to choose from.
MusicBO;1;1017;And then I found myself confronted by such hardness in the woman whom I had spoilt by my leniency, that it was out of the question to expect her to acknowledge the injustice done to myself.
MusicBO;1;1179;"As the result of this treatment and the irritating effect this treatment had upon my nerves, I lost my voice completely for a while; whereupon I was told that I must go away for a change."
MusicBO;1;1276;Without clearly realising what it would lead to, and without coming to any understanding with her, I left Bordeaux towards the end of April, more excited than soothed in spirit, and filled with regret and anxiety.
MusicBO;1;165;This was too flagrant a misdeed for the public prosecutors: Rockel was therefore immediately placed under arrest, and had to remain three days in gaol while an action for high treason was lodged against him.
MusicBO;1;511;In those circumstances the town council saw the town council were no longer able to face the situation, and thereupon took part in summoning those members of the Saxon Chamber who were still in Dresden.
MusicBO;1;662;Up to this moment I had been moved only by a feeling of sympathy for a method of procedure entered upon at first with almost ironical incredulity, and then pursued with the vigour of surprise.
MusicBO;1;816;At five o'clock the next morning I got up (after a few hours' sleep) and set out to find my brother-in-law Wolfram's house, which was about a quarter of an hour's walk from the town.
MusicBO;1;928;The idea did not please me, and I found sufficient excuse for warding off the negotiations by saying I was afraid of the epidemic of cholera which was said to be raging in the city.
MusicBO;1;1231;It turned out that my answer prompted her to send me a kind and pressing invitation to go and stay at her house, at least for a short time, to rest and forget my troubles.
MusicBO;1;67;I must own, however, that I felt bound to urge this king to assume a much more familiar attitude towards his people than the court atmosphere and the almost exclusive society of his nobles
MusicBO;1;242;When a musician appeared before the public decorated with the wonderful order, a musician was greeted with great jubilation by the loyal audience that filled the theatre on the evening of the festival concert.
MusicBO;1;406;This a man gladly did, not only for the sake of necessary bodily exercise, but also because a man could do so in this part of the world without fear of meeting his pursuers.
MusicBO;1;307;He induced me to come to a meeting of this union of the orchestral company, in order that I might form an opinion about it, and encourage and support so praiseworthy a movement.
MusicBO;1;496;As I approached the scene of operations through the Rampische Gasse, I met a company of the Dresden Communal Guards, who, although they were quite innocent, had apparently been exposed to this fire.
MusicBO;1;993;With this money I made up my mind to leave for Zurich and ask Alex Muller to give me shelter for a while, as his house was sufficiently large to accommodate a guest.
MusicBO;1;1058;I was often frightened at the excessive outbursts of exaltation to which I was prone—no matter whom I was with—and which led me to indulge in the most extraordinary paradoxes in my conversation.
MusicBO;1;1218;In response to this invitation I wrote a long essay on Kunst und Klima ('Art and Climate'), in which I supplemented the ideas I had already touched upon in my Kunstwerk der Zukunft.
MusicBO;1;1303;I looked over my Lohengrin score, and quickly decided to send my Lohengrin score to Liszt and leave my Lohengrin score to him to bring my Lohengrin score out as best Liszt could.
MusicBO;1;1320;Impressing upon him the necessity for the strictest secrecy, I invited him to join me at the Lake of Geneva, and in the second week in May we met at the Hotel Byron.
MusicBO;1;194;It was of the highest importance to me to secure an organisation of the theatre, which would make the carrying out its loftiest ideals not only a possibility but also a certainty.
MusicBO;1;399;For supper my wife set before him finely cut slices of sausage and meat, which a man at once devoured wholesale, instead of spreading them frugally on his bread in Saxon fashion.
MusicBO;1;1198;In view of the tidings which continually arrived concerning the cruelty and brutality with which the soldiers treated the prisoners, we could not help considering our own lot a very happy one.
MusicBO;1;1373;I had only met her once before in Dresden, when Karl had invited me to be present at the performance of a quartette of his own composition, given at his mother's house.
MusicBO;1;537;The next day (Friday the 5th of May), when I again took my place as a passionately interested spectator of the proceedings at the Town Hall, events took a decisive turn.
MusicBO;1;795;I therefore went to the Town Hall, where I found the townspeople entertaining to the best of their ability a blustering horde of excited revolutionaries both within and without the walls.
MusicBO;1;888;I started accordingly on my walk of about six hours, and came over the plateau into the little university town (which now received me hospitably for the first time) at sunset.
MusicBO;1;910;I had been the more willing to accept my friends' suggestion to take the Swiss route to Paris, as I knew I should find an old acquaintance, Alexander Muller, at Zurich.
MusicBO;1;1029;I soon gave up the large room containing a grand piano, which Alex Muller had allotted to me on the impulse of the moment, and retired to a modest little bedroom.
MusicBO;1;1280;I was filled with distress and anger at being called upon to waste my energies in a direction contrary to my tastes, merely to satisfy the unreasonable demands made upon me.
MusicBO;1;155;This incident did indeed place us in a somewhat awkward position towards our host, but This incident furnished us with a most amusing topic of conversation on the way home
MusicBO;1;393;I had just then been inspired by a study of the Gospels to conceive the plan of a tragedy for the ideal stage of the future, entitled Jesus of Nazareth.
MusicBO;1;407;My attempts during our conversations to instruct him more fully regarding my artistic aims remained quite unavailing as long as we were unable to quit the field of mere discussion.
MusicBO;1;573;The truce expired at noon, and the troops, supported by several guns, at once opened the attack on one, of the principal positions held by the people on the Neumarkt.
MusicBO;1;621;In a few moments the Opera House (which as regards size was, it is true, an imposing edifice), together with its highly inflammable contents, was a vast sea of flames.
MusicBO;1;175;Moreover, it was necessary to warn him that if the reactionary party should ever come into power again, the reactionary party could never possibly forgive him for this newspaper.
MusicBO;1;504;I recollect quite clearly that from that moment I was attracted by surprise and interest in the drama, without feeling any desire to join the ranks of the combatants.
MusicBO;1;562;"Every one was in a high state of glee about the revolution; they all heartily approved of the barricades, and felt no scruples about desiring victory for their defenders."
