corpus_id;document_id;sentence_id;content;document_uri;corpus_uri
MusicBO;16;681;Ogni pagina ha cinque righi .;https://books.google.it/books?id=y0VDAAAAYAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;1162;sepolto nella cappella di Santa Cecilia nella chiesa dei Carmini di Monte Santo .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;1073;Fu sepolto nella chiesa di Santa Maria della Rotonda .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;2154;divenne così l’ oggetto della stima e della venerazione universale .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;961;Il libretto fu stampato nel 1688 .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;2947;la si conserva nella Biblioteca del Conservatorio di Parigi .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;188;passò poi nella cappella di Santa Maria Maggiore .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;1503;"Si vende nella Strada del Corallo , alla porta del Palazzo di Orlando ;";;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;988;Tre sinfonie precedono gli atti .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;14;127;Fu eseguita anche la scena finale de La Walkiria , e il professor Domenico Oliva tenne un discorso commemorativo .;http://www.luigiverdi.it/wagner_e_wagnerismo.htm;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;2210;La biblioteca del Liceo musicale di Bologna possiede le seguenti composizioni manoscritte del Martini :;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;4982;"La vergine del sole , dramma , Venezia , teatro della Fenice , carnevale 1805 ;";;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;1042;Bernardo Pasquini ne aveva scritto la musica su poesia di Alessandro Guidi di Verona , e Corelli dirigeva l' orchestra composta di 150 suonatori .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;14;3;i titoli più significativi del repertorio erano stati battezzati soprattutto a Milano , Roma , Napoli , Venezia .;http://www.luigiverdi.it/wagner_e_wagnerismo.htm;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;6428;Dopo cinque mesi di soggiorno a Londra , Rossini venne a Parigi , ove fu nominato direttore del teatro Italiano .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;6264;In quest' opera Rossini marcò un nuovo passo nella sua carriera .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;6369;Molti pezzi della Pietra del paragone , del Turco in Italia e della Gazgetta sono passati nello spartito della Cezerenztola .;;https://doi.org/10.5281/zenodo.6672165
MusicBO;105;3558;Le segnate si conservano nell' Archivio del Real Collegio di Napoli .;;https://doi.org/10.5281/zenodo.6672165
